Name;Accession;Organism;collection_date;country;host;strain
F-Apr-18-5-M1;MZ670841.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-M1
F-Apr-18-5-M1;MZ670841.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-M1
F-Apr-18-5-M1;MZ670841.1;Yam mosaic virus;2018-04-15;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-18-5-M1
F-Apr-19-50-S21;MZ670842.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S21
F-Apr-19-50-S21;MZ670842.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S21
F-Apr-19-50-S21;MZ670842.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S21
F-Apr-19-50-S4;MZ670843.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S4
F-Apr-19-50-S4;MZ670843.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S4
F-Apr-19-50-S4;MZ670843.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S4
F-Apr-19-50-S5;MZ670844.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S5
F-Apr-19-50-S5;MZ670844.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S5
F-Apr-19-50-S5;MZ670844.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S5
F-Apr-19-50-S3;MZ670845.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S3
F-Apr-19-50-S3;MZ670845.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S3
F-Apr-19-50-S3;MZ670845.1;Yam mosaic virus;2019-04-07;Nigeria;Dioscorea cayenensis subsp. rotundata;F-Apr-19-50-S3
F-May-20-2-X1D;MZ670846.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X1D
F-May-20-2-X1D;MZ670846.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X1D
F-May-20-2-X1D;MZ670846.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X1D
F-May-20-2-X1B;MZ670847.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X1B
F-May-20-2-X1B;MZ670847.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X1B
F-May-20-2-X1B;MZ670847.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X1B
F-May-20-2-X2B;MZ670848.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X2B
F-May-20-2-X2B;MZ670848.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X2B
F-May-20-2-X2B;MZ670848.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X2B
F-May-20-2-X3C;MZ670849.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X3C
F-May-20-2-X3C;MZ670849.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X3C
F-May-20-2-X3C;MZ670849.1;Yam mosaic virus;2020-05-13;Nigeria;Dioscorea cayenensis subsp. rotundata;F-May-20-2-X3C
R-Dec-16-pT2-1;MZ670850.1;Yam mosaic virus;2016-12-14;Nigeria;Dioscorea cayenensis subsp. rotundata;R-Dec-16-pT2-1
